Title,Year,Note
Vanishing Point,1971,1/10 CTV_2021-02-05 - CAR CRAZE!
The Wraith,1986,3/10 CTV_2021-02-05 - CAR CRAZE!
The Van,1977,4/10 CTV_2021-02-05 - CAR CRAZE!
Race with the Devil,1975,6/10 CTV_2021-02-05 - CAR CRAZE!& 4/8 CTV_2020-07-27 - Nowheresville:  A Curation of off-beat road and aimless wanderlust films.
Duel,1971,7/10 CTV_2021-02-05 - CAR CRAZE!
Supervan,1975,8/10 CTV_2021-02-05 - CAR CRAZE!
Dirty Mary Crazy Larry,1974,9/10 CTV_2021-02-05 - CAR CRAZE!
White Line Fever,1975,10/10 CTV_2021-02-05 - CAR CRAZE!
Incredibly Strange Picture Show,1988,1/9 CTV_2021-02-04 - Films of RUSS MEYER!
"Faster, Pussycat! Kill! Kill!",1965,2/9 CTV_2021-02-04 - Films of RUSS MEYER!& 2/10 CTV_2020-08-26 - Bad Girls Have More Fun!
Beyond the Valley of the Dolls,1970,3/9 CTV_2021-02-04 - Films of RUSS MEYER!
Up!,1976,4/9 CTV_2021-02-04 - Films of RUSS MEYER!
Beneath The Valley of The Ultra-Vixens,1979,5/9 CTV_2021-02-04 - Films of RUSS MEYER!
Vixen,1968,6/9 CTV_2021-02-04 - Films of RUSS MEYER!
Supervixens,1975,7/9 CTV_2021-02-04 - Films of RUSS MEYER!& 4/8 CTV_2020-08-31 - Cinema Revival House Monday! We will be showing an eclectic mix of films shown at LA’s legendary NUART Theater. This is where Eraserhead & Pink Flamingos were put on the map! ’s show are all films that played on the calendar during the 1980’s!
Motorpsycho,1965,8/9 CTV_2021-02-04 - Films of RUSS MEYER!
Mudhoney,1965,9/9 CTV_2021-02-04 - Films of RUSS MEYER!
Ricky Powell Short Docs,2021,1/11 CTV_2021-02-03 - HIP-HOP CINEMA THROUGH THE 80’s & 90’s!
Belly,1998,3/11 CTV_2021-02-03 - HIP-HOP CINEMA THROUGH THE 80’s & 90’s!
Krush Groove,1985,4/11 CTV_2021-02-03 - HIP-HOP CINEMA THROUGH THE 80’s & 90’s!
Menace II Society,1993,6/11 CTV_2021-02-03 - HIP-HOP CINEMA THROUGH THE 80’s & 90’s!
CB4,1993,7/11 CTV_2021-02-03 - HIP-HOP CINEMA THROUGH THE 80’s & 90’s!
Breakin 'n' Enterin',1983,8/11 CTV_2021-02-03 - HIP-HOP CINEMA THROUGH THE 80’s & 90’s!
Breakin 2: Electric Boogaloo,1984,10/11 CTV_2021-02-03 - HIP-HOP CINEMA THROUGH THE 80’s & 90’s!
Bad Meaning Good,1987,11/11 CTV_2021-02-03 - HIP-HOP CINEMA THROUGH THE 80’s & 90’s!
The World's Greatest Sinner,1962,1/10 CTV_2021-02-01 - Black & White Shockers!
This Night I'll Possess Your Corpse,1967,"2/10 CTV_2021-02-01 - Black & White Shockers!& 12/13 CTV_2020-07-05 - We are re-airing our popular program, Phantasmagoria : Magical Practices and Ceremonial Cinema."
Mondo Trasho,1969,3/10 CTV_2021-02-01 - Black & White Shockers!
Fingered!,1986,4/10 CTV_2021-02-01 - Black & White Shockers!
Flaming Creatures,1963,5/10 CTV_2021-02-01 - Black & White Shockers!
The Unholy Three,1925,7/10 CTV_2021-02-01 - Black & White Shockers!
Freaks,1932,10/10 CTV_2021-02-01 - Black & White Shockers!
Ninja III: The Domination,1984,1/9 CTV_2021-01-29 - CRAZY SEQUELS! Co-curated by @theodore_ted_logan& 4/9 CTV_2020-10-02 - ABSURD MAYHEM 2: More Trash Action Schlock from the Video Bins! 💥
Cruel Jaws,1995,3/9 CTV_2021-01-29 - CRAZY SEQUELS! Co-curated by @theodore_ted_logan
Hellbound: Hellraiser II,1988,4/9 CTV_2021-01-29 - CRAZY SEQUELS! Co-curated by @theodore_ted_logan& 2/8 CTV_2020-10-21 - GORE ZONE! A splatter filled deep dive into the cinematic sewers! The season continues with our homage to our favorite 80’s horror magazine!! Not for the SQUEAMISH!
Leprechaun 4: In Space,1997,7/9 CTV_2021-01-29 - CRAZY SEQUELS! Co-curated by @theodore_ted_logan
Piranha II: The Spawning,1982,8/9 CTV_2021-01-29 - CRAZY SEQUELS! Co-curated by @theodore_ted_logan
Robocop 2,1990,9/9 CTV_2021-01-29 - CRAZY SEQUELS! Co-curated by @theodore_ted_logan
Ako (White Morning),1964,1/10 CTV_2021-01-28 - The films of Hiroshi Teshigahara. Happy Birthday Hiroshi! 🎂
Face of Another,1966,2/10 CTV_2021-01-28 - The films of Hiroshi Teshigahara. Happy Birthday Hiroshi! 🎂
Sculptures by Sofu-Vita,1963,3/10 CTV_2021-01-28 - The films of Hiroshi Teshigahara. Happy Birthday Hiroshi! 🎂
Jose Torres,1959,5/10 CTV_2021-01-28 - The films of Hiroshi Teshigahara. Happy Birthday Hiroshi! 🎂
The Man without a Map,1968,8/10 CTV_2021-01-28 - The films of Hiroshi Teshigahara. Happy Birthday Hiroshi! 🎂
Sculptures Mouvante,1981,9/10 CTV_2021-01-28 - The films of Hiroshi Teshigahara. Happy Birthday Hiroshi! 🎂
Go Hîme : The Princess Goh,1992,10/10 CTV_2021-01-28 - The films of Hiroshi Teshigahara. Happy Birthday Hiroshi! 🎂
Blank City,2009,1/11 CTV_2021-01-27 - Documentaries About Filmmaking!
Inside Deep Throat,2005,2/11 CTV_2021-01-27 - Documentaries About Filmmaking!
An examination of the infamous porno film ‘Deep Throat’,1972,3/11 CTV_2021-01-27 - Documentaries About Filmmaking!
Divine Trash,1998,4/11 CTV_2021-01-27 - Documentaries About Filmmaking!
"Electric Boogaloo: The Wild, Untold Story of Cannon Films",2014,5/11 CTV_2021-01-27 - Documentaries About Filmmaking!
The Kid Stays in the Picture,2002,7/11 CTV_2021-01-27 - Documentaries About Filmmaking!
Hearts of Darkness: A Filmmaker's Apocalypse,1991,8/11 CTV_2021-01-27 - Documentaries About Filmmaking!
Documentary that chronicles how Francis Ford Coppola's Apocalypse Now,1979,9/11 CTV_2021-01-27 - Documentaries About Filmmaking!
A Decade Under the Influence,2003,10/11 CTV_2021-01-27 - Documentaries About Filmmaking!
The Texas Chainsaw Massacre: A Family Portrait,1988,11/11 CTV_2021-01-27 - Documentaries About Filmmaking!
White Dog,1982,2/8 CTV_2021-01-25 - The Cats & Dogs Show!
Wiener-Dog,2016,5/8 CTV_2021-01-25 - The Cats & Dogs Show!
Umberto D.,1952,6/8 CTV_2021-01-25 - The Cats & Dogs Show!
The Adventures Of Milo & Otis,1986,7/8 CTV_2021-01-25 - The Cats & Dogs Show!
The Cat From Outer Space,1978,8/8 CTV_2021-01-25 - The Cats & Dogs Show!
The Running Man,1987,1/9 CTV_2021-01-22 - DYSTOPIAN GAMES!
Arena,1989,3/9 CTV_2021-01-22 - DYSTOPIAN GAMES!
Robot Jox,1989,4/9 CTV_2021-01-22 - DYSTOPIAN GAMES!
Deathsport,1978,5/9 CTV_2021-01-22 - DYSTOPIAN GAMES!
The Blood of Heroes,1989,6/9 CTV_2021-01-22 - DYSTOPIAN GAMES!
Rollerball,1975,7/9 CTV_2021-01-22 - DYSTOPIAN GAMES!
Quintet,1979,8/9 CTV_2021-01-22 - DYSTOPIAN GAMES!
Solarbabies,1986,9/9 CTV_2021-01-22 - DYSTOPIAN GAMES!
Slacker,1990,4/7 CTV_2021-01-21 - 90’s Auteur Films!
Chungking Express,1994,5/7 CTV_2021-01-21 - 90’s Auteur Films!
The Virgin Suicides,1999,6/7 CTV_2021-01-21 - 90’s Auteur Films!
Flash Gordon,1980,"2/9 CTV_2021-01-20 - HEY KIDS, COMICS: Presented by comic book and magazine maestro @astraleyez"
The Castle of Cagliostro,1979,"5/9 CTV_2021-01-20 - HEY KIDS, COMICS: Presented by comic book and magazine maestro @astraleyez"
Baba Yaga,1973,"6/9 CTV_2021-01-20 - HEY KIDS, COMICS: Presented by comic book and magazine maestro @astraleyez"
Fire and Ice,1983,"7/9 CTV_2021-01-20 - HEY KIDS, COMICS: Presented by comic book and magazine maestro @astraleyez"
Gandahar,1987,"8/9 CTV_2021-01-20 - HEY KIDS, COMICS: Presented by comic book and magazine maestro @astraleyez& 8/9 CTV_2020-07-20 - Cult classic animated films!"
Comic Book Confidential,1988,"9/9 CTV_2021-01-20 - HEY KIDS, COMICS: Presented by comic book and magazine maestro @astraleyez"
Killer Of Sheep,1978,1/8 CTV_2021-01-18 - SLICE OF LIFE.
George Washington,2000,3/8 CTV_2021-01-18 - SLICE OF LIFE.& 2/8 CTV_2020-07-02 - we present a collection of rarely screened films we call…
After The Storm,2016,5/8 CTV_2021-01-18 - SLICE OF LIFE.
My Brothers Wedding,1983,6/8 CTV_2021-01-18 - SLICE OF LIFE.
Happy Together,1997,7/8 CTV_2021-01-18 - SLICE OF LIFE.
Personal Problems,1980,8/8 CTV_2021-01-18 - SLICE OF LIFE.
The Howling,1981,1/10 CTV_2021-01-15 - HUNGRY LIKE A WOLF!
An American Werewolf in London,1981,2/10 CTV_2021-01-15 - HUNGRY LIKE A WOLF!
Howling III: The Marsupials,1987,3/10 CTV_2021-01-15 - HUNGRY LIKE A WOLF!
Wolf Guy,1975,6/10 CTV_2021-01-15 - HUNGRY LIKE A WOLF!
Night of the Werewolf,1981,8/10 CTV_2021-01-15 - HUNGRY LIKE A WOLF!
Wolfen,1981,9/10 CTV_2021-01-15 - HUNGRY LIKE A WOLF!
Silver Bullet,1985,10/10 CTV_2021-01-15 - HUNGRY LIKE A WOLF!
Party Monster,2003,3/8 CTV_2021-01-14 - Liquid Sky (1982)
Altered States,1980,5/8 CTV_2021-01-14 - Liquid Sky (1982)
Drugstore Cowboy,1989,7/8 CTV_2021-01-14 - Liquid Sky (1982)
Sonny Boy,1989,2/7 CTV_2021-01-13 - Cathode comrade and artist Matt Minter aka @worsethanjail presents: Mondo Weirdo!
Bloodlust AKA Mosquito,1976,3/7 CTV_2021-01-13 - Cathode comrade and artist Matt Minter aka @worsethanjail presents: Mondo Weirdo!
The Enigma Of Kaspar Hauser,1974,4/7 CTV_2021-01-13 - Cathode comrade and artist Matt Minter aka @worsethanjail presents: Mondo Weirdo!& 6/7 CTV_2020-11-02 - German New Wave ’73-’84.  A look at the iconic and genre defying cinematic works from some of the greatest filmmakers from the German New Wave era.
The Secret Life: Jeffrey Dahmer,1993,5/7 CTV_2021-01-13 - Cathode comrade and artist Matt Minter aka @worsethanjail presents: Mondo Weirdo!
The Plumber,1979,7/7 CTV_2021-01-13 - Cathode comrade and artist Matt Minter aka @worsethanjail presents: Mondo Weirdo!
Princess Mononoke,1997,1/7 CTV_2021-01-12 - Animations from Studio Ghibli
Howl’s Moving Castle,2004,2/7 CTV_2021-01-12 - Animations from Studio Ghibli
My Neighbor Totoro -,1988,3/7 CTV_2021-01-12 - Animations from Studio Ghibli
Spirited Away,2001,4/7 CTV_2021-01-12 - Animations from Studio Ghibli& 4/9 CTV_2020-11-30 - Oneirophrenia:  Films That Exude A Dream State Atmosphere
Porco Rosso,1992,5/7 CTV_2021-01-12 - Animations from Studio Ghibli
Only Yesterday,1991,6/7 CTV_2021-01-12 - Animations from Studio Ghibli
Ponyo,2008,7/7 CTV_2021-01-12 - Animations from Studio Ghibli
Werner Herzog Eats His Shoe,1980,1/10 CTV_2021-01-11 - HERZOG.
"Aguirre, the Wrath of God",1972,3/10 CTV_2021-01-11 - HERZOG.
Even Dwarves Started Small,1970,4/10 CTV_2021-01-11 - HERZOG.
Stroszek,1977,10/10 CTV_2021-01-11 - HERZOG.& 3/8 CTV_2020-07-02 - we present a collection of rarely screened films we call…
Stone,1974,1/9 CTV_2021-01-08 - OZPLOITATION: Australian Genre Films from the 70’s & 80’s
Dead End Drive-In,1986,2/9 CTV_2021-01-08 - OZPLOITATION: Australian Genre Films from the 70’s & 80’s
Patrick,1978,4/9 CTV_2021-01-08 - OZPLOITATION: Australian Genre Films from the 70’s & 80’s
Stunt Rock,1978,6/9 CTV_2021-01-08 - OZPLOITATION: Australian Genre Films from the 70’s & 80’s& 7/9 CTV_2020-07-24 - ABSURD MAYHEM: Trash Action Schlock from the Video Bin!
Mad Max,1979,8/9 CTV_2021-01-08 - OZPLOITATION: Australian Genre Films from the 70’s & 80’s
BMX Bandits,1983,9/9 CTV_2021-01-08 - OZPLOITATION: Australian Genre Films from the 70’s & 80’s
Andreadeus of the Night,1973,1/9 CTV_2021-01-07 - Artist Joshua Rievel AKA @hamburgerlady takes over the stream with an awesome themed show he's calling “The Signal is Coming from Pittsburgh!”
Road Movie,1973,2/9 CTV_2021-01-07 - Artist Joshua Rievel AKA @hamburgerlady takes over the stream with an awesome themed show he's calling “The Signal is Coming from Pittsburgh!”
Midnight,1982,3/9 CTV_2021-01-07 - Artist Joshua Rievel AKA @hamburgerlady takes over the stream with an awesome themed show he's calling “The Signal is Coming from Pittsburgh!”
Effects,1979,4/9 CTV_2021-01-07 - Artist Joshua Rievel AKA @hamburgerlady takes over the stream with an awesome themed show he's calling “The Signal is Coming from Pittsburgh!”
The Majorettes,1987,5/9 CTV_2021-01-07 - Artist Joshua Rievel AKA @hamburgerlady takes over the stream with an awesome themed show he's calling “The Signal is Coming from Pittsburgh!”
All the Right Moves,1983,6/9 CTV_2021-01-07 - Artist Joshua Rievel AKA @hamburgerlady takes over the stream with an awesome themed show he's calling “The Signal is Coming from Pittsburgh!”
Document of the Dead,1979,8/9 CTV_2021-01-07 - Artist Joshua Rievel AKA @hamburgerlady takes over the stream with an awesome themed show he's calling “The Signal is Coming from Pittsburgh!”
The Incredibly Strange Film Show feat. George A. Romero,1989,9/9 CTV_2021-01-07 - Artist Joshua Rievel AKA @hamburgerlady takes over the stream with an awesome themed show he's calling “The Signal is Coming from Pittsburgh!”
Featuring ‘Heavy Metal Parking Lot’ and ‘Heavy Metal Memories’,1986,1/9 CTV_2021-01-06 - The Kids Are Not Alright Part 2!
Trouble In Mind,1985,3/7 CTV_2021-01-04 - Bizarre Noir!
Marine Flowers,1975,"1/13 CTV_2020-12-31 - ""2021: In A World...""  we have a very special New Years show curated by @clavendr there will be no show time listings and we will run this show all day/all night tomorrow as well! We couldn’t think of a better collection of films to bring us into a hopefully brighter new year"
Fantastic Fungi,2019,"2/13 CTV_2020-12-31 - ""2021: In A World...""  we have a very special New Years show curated by @clavendr there will be no show time listings and we will run this show all day/all night tomorrow as well! We couldn’t think of a better collection of films to bring us into a hopefully brighter new year"
Microcosmos,1996,"3/13 CTV_2020-12-31 - ""2021: In A World...""  we have a very special New Years show curated by @clavendr there will be no show time listings and we will run this show all day/all night tomorrow as well! We couldn’t think of a better collection of films to bring us into a hopefully brighter new year"
Chronos,1985,"5/13 CTV_2020-12-31 - ""2021: In A World...""  we have a very special New Years show curated by @clavendr there will be no show time listings and we will run this show all day/all night tomorrow as well! We couldn’t think of a better collection of films to bring us into a hopefully brighter new year"
Oasis,1997,"6/13 CTV_2020-12-31 - ""2021: In A World...""  we have a very special New Years show curated by @clavendr there will be no show time listings and we will run this show all day/all night tomorrow as well! We couldn’t think of a better collection of films to bring us into a hopefully brighter new year"
Koyaanisqatsi,1982,"7/13 CTV_2020-12-31 - ""2021: In A World...""  we have a very special New Years show curated by @clavendr there will be no show time listings and we will run this show all day/all night tomorrow as well! We couldn’t think of a better collection of films to bring us into a hopefully brighter new year"
Baraka,1992,"8/13 CTV_2020-12-31 - ""2021: In A World...""  we have a very special New Years show curated by @clavendr there will be no show time listings and we will run this show all day/all night tomorrow as well! We couldn’t think of a better collection of films to bring us into a hopefully brighter new year"
Samsara,2011,"9/13 CTV_2020-12-31 - ""2021: In A World...""  we have a very special New Years show curated by @clavendr there will be no show time listings and we will run this show all day/all night tomorrow as well! We couldn’t think of a better collection of films to bring us into a hopefully brighter new year"
Decasia: The State of Decay,2002,"10/13 CTV_2020-12-31 - ""2021: In A World...""  we have a very special New Years show curated by @clavendr there will be no show time listings and we will run this show all day/all night tomorrow as well! We couldn’t think of a better collection of films to bring us into a hopefully brighter new year"
One Way Boogie,1977,"11/13 CTV_2020-12-31 - ""2021: In A World...""  we have a very special New Years show curated by @clavendr there will be no show time listings and we will run this show all day/all night tomorrow as well! We couldn’t think of a better collection of films to bring us into a hopefully brighter new year"
Faces Places,2017,"12/13 CTV_2020-12-31 - ""2021: In A World...""  we have a very special New Years show curated by @clavendr there will be no show time listings and we will run this show all day/all night tomorrow as well! We couldn’t think of a better collection of films to bring us into a hopefully brighter new year"
City of God,2002,"1/6 CTV_2020-12-28 - Gestures of Destitution : Slums, Gangs, and Stories of Impoverished Youth"
Pixote,1981,"2/6 CTV_2020-12-28 - Gestures of Destitution : Slums, Gangs, and Stories of Impoverished Youth& 2/7 CTV_2020-09-22 - New Wave Heartache & Fantasy."
Vanda’s Rooms,2000,"5/6 CTV_2020-12-28 - Gestures of Destitution : Slums, Gangs, and Stories of Impoverished Youth"
Lone Wolf and Cub: Sword of Vengeance,1972,1/10 CTV_2020-12-26 - Special holiday weekend show!!  Lone Wolf & Friends Marathon!
Lone Wolf and Cub: Baby Cart at the River Styx,1972,2/10 CTV_2020-12-26 - Special holiday weekend show!!  Lone Wolf & Friends Marathon!
Lone Wolf and Cub: Baby Cart to Hades,1972,3/10 CTV_2020-12-26 - Special holiday weekend show!!  Lone Wolf & Friends Marathon!
Lone Wolf and Cub: Baby Cart in Peril,1972,4/10 CTV_2020-12-26 - Special holiday weekend show!!  Lone Wolf & Friends Marathon!
Lone Wolf and Cub: Baby Cart in the Land of Demons,1973,5/10 CTV_2020-12-26 - Special holiday weekend show!!  Lone Wolf & Friends Marathon!
Lone Wolf and Cub: White Heaven in Hell,1974,6/10 CTV_2020-12-26 - Special holiday weekend show!!  Lone Wolf & Friends Marathon!
The Tale of Zatoichi,1962,8/10 CTV_2020-12-26 - Special holiday weekend show!!  Lone Wolf & Friends Marathon!
Zatoichi Goes to the Fire Festival,1970,9/10 CTV_2020-12-26 - Special holiday weekend show!!  Lone Wolf & Friends Marathon!
Zatoichi In Desperation,1972,10/10 CTV_2020-12-26 - Special holiday weekend show!!  Lone Wolf & Friends Marathon!
The Star Wars Holiday Special,1978,1/13 CTV_2020-12-25 - ALL DAY!  Cathode TV Xmas Day Fiesta! We are BACK after the Grinch cut our internet power!  We will be playing a special daytime show and re-airing last night’s program for you all!!!
Santa Claus Conquers The Martians,1964,2/13 CTV_2020-12-25 - ALL DAY!  Cathode TV Xmas Day Fiesta! We are BACK after the Grinch cut our internet power!  We will be playing a special daytime show and re-airing last night’s program for you all!!!
Christmas at Pee Wee’s Playhouse,1988,3/13 CTV_2020-12-25 - ALL DAY!  Cathode TV Xmas Day Fiesta! We are BACK after the Grinch cut our internet power!  We will be playing a special daytime show and re-airing last night’s program for you all!!!
Santa Claus,1959,4/13 CTV_2020-12-25 - ALL DAY!  Cathode TV Xmas Day Fiesta! We are BACK after the Grinch cut our internet power!  We will be playing a special daytime show and re-airing last night’s program for you all!!!
One Magic Christmas,1985,5/13 CTV_2020-12-25 - ALL DAY!  Cathode TV Xmas Day Fiesta! We are BACK after the Grinch cut our internet power!  We will be playing a special daytime show and re-airing last night’s program for you all!!!
Game Over aka Deadly Games,1989,6/13 CTV_2020-12-25 - ALL DAY!  Cathode TV Xmas Day Fiesta! We are BACK after the Grinch cut our internet power!  We will be playing a special daytime show and re-airing last night’s program for you all!!!& 4/8 CTV_2020-12-24 - Holiday HELL!  (*note: ’s program will not rerun tomorrow)
Home for the Holidays,1972,13/13 CTV_2020-12-25 - ALL DAY!  Cathode TV Xmas Day Fiesta! We are BACK after the Grinch cut our internet power!  We will be playing a special daytime show and re-airing last night’s program for you all!!!& 8/8 CTV_2020-12-24 - Holiday HELL!  (*note: ’s program will not rerun tomorrow)
Tales From the Crypt  - Season 1 Episode 2,1989,1/9 CTV_2020-12-23 - The Astraleyez Holiday Special! @astraleyez
Ruslan and Ludmila Part 1&2,1972,5/9 CTV_2020-12-23 - The Astraleyez Holiday Special! @astraleyez
The Snow Woman,1968,6/9 CTV_2020-12-23 - The Astraleyez Holiday Special! @astraleyez
Tales From the Crypt,1972,7/9 CTV_2020-12-23 - The Astraleyez Holiday Special! @astraleyez
Blast of Silence,1961,1/8 CTV_2020-12-22 - Mafioso Mania!
Mafia Massacre Style,1974,2/8 CTV_2020-12-22 - Mafioso Mania!
The Tough Ones,1976,5/8 CTV_2020-12-22 - Mafioso Mania!
Once Upon a Time in America,1984,8/8 CTV_2020-12-22 - Mafioso Mania!
Profondo Rosso aka Deep Red,1975,1/9 CTV_2020-12-18 - Italiano Macabre: Prime Cut Giallo & Euro Horror!
Tenebre,1982,4/9 CTV_2020-12-18 - Italiano Macabre: Prime Cut Giallo & Euro Horror!
A Lizard in a Woman’s Skin,1971,5/9 CTV_2020-12-18 - Italiano Macabre: Prime Cut Giallo & Euro Horror!
City Of The Living Dead,1980,6/9 CTV_2020-12-18 - Italiano Macabre: Prime Cut Giallo & Euro Horror!
YouTopia: Salvaged Inzanity from the Wastelands of YouTube,2017,1/11 CTV_2020-12-15 - WONDERFUL WEIRDOS!
Love Letter to Edie,1975,2/11 CTV_2020-12-15 - WONDERFUL WEIRDOS!
Theory of Obscurity: A Film About the Residents,2015,3/11 CTV_2020-12-15 - WONDERFUL WEIRDOS!
TV or Not TV: The Public Access Archives of the Threee Geniuses,2019,5/11 CTV_2020-12-15 - WONDERFUL WEIRDOS!
Off the Charts: The Song-Poem Story,2003,6/11 CTV_2020-12-15 - WONDERFUL WEIRDOS!
Center Jenny,2013,7/11 CTV_2020-12-15 - WONDERFUL WEIRDOS!
The Rock-afire Explosion,2008,11/11 CTV_2020-12-15 - WONDERFUL WEIRDOS!& 4/11 CTV_2020-08-17 - Documentary Monday!
Dottie Gets Spanked,1993,1/10 CTV_2020-12-14 - Suburban Hell.
Polyester,1981,2/10 CTV_2020-12-14 - Suburban Hell.
Storytelling,2001,5/10 CTV_2020-12-14 - Suburban Hell.
Real Life,1979,9/10 CTV_2020-12-14 - Suburban Hell.
The Incredible Shrinking Woman,1981,10/10 CTV_2020-12-14 - Suburban Hell.
The Last Dragon,1985,2/9 CTV_2020-12-11 - ACTION SMACKTION! with guest programmer and comic book artist extraordinaire
Invasion USA,1985,3/9 CTV_2020-12-11 - ACTION SMACKTION! with guest programmer and comic book artist extraordinaire
Black Moon Rising,1986,4/9 CTV_2020-12-11 - ACTION SMACKTION! with guest programmer and comic book artist extraordinaire
Light Blast,1985,5/9 CTV_2020-12-11 - ACTION SMACKTION! with guest programmer and comic book artist extraordinaire
Band Of The Hand,1986,6/9 CTV_2020-12-11 - ACTION SMACKTION! with guest programmer and comic book artist extraordinaire
Eye Of The Tiger,1986,7/9 CTV_2020-12-11 - ACTION SMACKTION! with guest programmer and comic book artist extraordinaire
Night Of The Juggler,1980,8/9 CTV_2020-12-11 - ACTION SMACKTION! with guest programmer and comic book artist extraordinaire
Operation Condor 2: The Armour of the Gods,1986,9/9 CTV_2020-12-11 - ACTION SMACKTION! with guest programmer and comic book artist extraordinaire
Ogroff: Mad Mutilator,1983,1/8 CTV_2020-12-10 - Artist Matt Minter aka @worsethanjail is taking over the stream with a wicked show featuring some of his favorite trash horror and fantastical cinema originating from France!
Mister Freedom,1969,2/8 CTV_2020-12-10 - Artist Matt Minter aka @worsethanjail is taking over the stream with a wicked show featuring some of his favorite trash horror and fantastical cinema originating from France!
Devil Story,1986,3/8 CTV_2020-12-10 - Artist Matt Minter aka @worsethanjail is taking over the stream with a wicked show featuring some of his favorite trash horror and fantastical cinema originating from France!
Don't Deliver Us From Evil,1971,4/8 CTV_2020-12-10 - Artist Matt Minter aka @worsethanjail is taking over the stream with a wicked show featuring some of his favorite trash horror and fantastical cinema originating from France!
Revenge Of The Living Dead Girls,1987,5/8 CTV_2020-12-10 - Artist Matt Minter aka @worsethanjail is taking over the stream with a wicked show featuring some of his favorite trash horror and fantastical cinema originating from France!
The Rape Of The Vampire,1968,6/8 CTV_2020-12-10 - Artist Matt Minter aka @worsethanjail is taking over the stream with a wicked show featuring some of his favorite trash horror and fantastical cinema originating from France!
Marquis,1989,2/7 CTV_2020-12-09 - Surreal Passions
Tales Of The Brothers Quay,1986,3/7 CTV_2020-12-09 - Surreal Passions
Fando y Lis,1968,4/7 CTV_2020-12-09 - Surreal Passions
Beauty And The Beast,1946,5/7 CTV_2020-12-09 - Surreal Passions
Lovers On The Bridge,1991,6/7 CTV_2020-12-09 - Surreal Passions
The Double Life Of Veronique,1991,7/7 CTV_2020-12-09 - Surreal Passions
The People Under the Stairs,1991,1/8 CTV_2020-12-07 - The Sun Drenched Dark: California Nightmares
Messiah Of Evil,1973,2/8 CTV_2020-12-07 - The Sun Drenched Dark: California Nightmares
"Butcher, Baker, Nightmare Maker aka Night Warning",1981,3/8 CTV_2020-12-07 - The Sun Drenched Dark: California Nightmares
Experiment In Terror,1962,4/8 CTV_2020-12-07 - The Sun Drenched Dark: California Nightmares
The Hitch-Hiker,1953,6/8 CTV_2020-12-07 - The Sun Drenched Dark: California Nightmares
He Walked By Night,1948,7/8 CTV_2020-12-07 - The Sun Drenched Dark: California Nightmares
House On Haunted Hill,1959,8/8 CTV_2020-12-07 - The Sun Drenched Dark: California Nightmares
American Juggalo,2011,1/11 CTV_2020-12-04 - CLOWN CRINGE!
Big Money Rustlas,2010,2/11 CTV_2020-12-04 - CLOWN CRINGE!
Killer Klowns From Outer Space,1988,3/11 CTV_2020-12-04 - CLOWN CRINGE!
Clownhouse,1989,4/11 CTV_2020-12-04 - CLOWN CRINGE!
Shakes The Clown,1991,5/11 CTV_2020-12-04 - CLOWN CRINGE!
Terrifier,2017,6/11 CTV_2020-12-04 - CLOWN CRINGE!
The Clown At Midnight,1998,7/11 CTV_2020-12-04 - CLOWN CRINGE!
Blood Harvest,1987,8/11 CTV_2020-12-04 - CLOWN CRINGE!
Wrinkles The Clown,2019,9/11 CTV_2020-12-04 - CLOWN CRINGE!
The Clowns,1970,11/11 CTV_2020-12-04 - CLOWN CRINGE!& 3/7 CTV_2020-07-14 - Surrealistic Circus Playground!
Wild Things,1998,3/7 CTV_2020-12-03 - Soft Core Thrillers!
Wild Side-Directors Cut,1995,4/7 CTV_2020-12-03 - Soft Core Thrillers!
Exotica,1994,5/7 CTV_2020-12-03 - Soft Core Thrillers!
The Flying Luna Clipper,1987,1/9 CTV_2020-11-30 - Oneirophrenia:  Films That Exude A Dream State Atmosphere
3 Women,1977,3/9 CTV_2020-11-30 - Oneirophrenia:  Films That Exude A Dream State Atmosphere
Last Year at Marienbad,1961,6/9 CTV_2020-11-30 - Oneirophrenia:  Films That Exude A Dream State Atmosphere
Wings of Desire,1987,7/9 CTV_2020-11-30 - Oneirophrenia:  Films That Exude A Dream State Atmosphere
Akira Kurosawa’s Dreams,1990,8/9 CTV_2020-11-30 - Oneirophrenia:  Films That Exude A Dream State Atmosphere
Galaxy of Terror,1981,1/9 CTV_2020-11-27 - Space Trash: Alien Rip-Offs & Other Schlock! w/ guest curator @theodore_ted_logan
Forbidden World,1982,3/9 CTV_2020-11-27 - Space Trash: Alien Rip-Offs & Other Schlock! w/ guest curator @theodore_ted_logan
Creature,1985,5/9 CTV_2020-11-27 - Space Trash: Alien Rip-Offs & Other Schlock! w/ guest curator @theodore_ted_logan
Inseminoid,1981,6/9 CTV_2020-11-27 - Space Trash: Alien Rip-Offs & Other Schlock! w/ guest curator @theodore_ted_logan
Star Crystal,1986,7/9 CTV_2020-11-27 - Space Trash: Alien Rip-Offs & Other Schlock! w/ guest curator @theodore_ted_logan
Parasite,1982,8/9 CTV_2020-11-27 - Space Trash: Alien Rip-Offs & Other Schlock! w/ guest curator @theodore_ted_logan
Alien 2: On Earth aka Alien Terror,1980,9/9 CTV_2020-11-27 - Space Trash: Alien Rip-Offs & Other Schlock! w/ guest curator @theodore_ted_logan
